#id: 2334528786
#name: H.sapiens - Plasma, iBAQ (Pernemalmetal,elife.2019)
#score: 4.2
#description: abundance based on iBAQ, Interaction consistency score: 4.2, Coverage: 11
#organ: PLASMA
#integrated: false
#coverage: 11
#link: http://www.ncbi.nlm.nih.gov/pubmed/30958262
#publication_year: 2019
#filename: 9606-PXD010899_human_plasma.txt
#
#string_external_id	abundance
9606.ENSP00000215832	626
9606.ENSP00000353731	625
9606.ENSP00000231751	620
9606.ENSP00000236850	614
9606.ENSP00000331544	607
9606.ENSP00000343171	602
9606.ENSP00000391826	596
9606.ENSP00000418009	594
9606.ENSP00000361083	590
9606.ENSP00000246662	589
9606.ENSP00000405338	588
9606.ENSP00000269593	587
9606.ENSP00000418770	580
9606.ENSP00000264036	565
9606.ENSP00000339063	564
9606.ENSP00000244137	560
9606.ENSP00000448220	556
9606.ENSP00000360687	538
9606.ENSP00000261405	535
9606.ENSP00000264870	531
9606.ENSP00000309124	529
9606.ENSP00000398632	529
9606.ENSP00000266041	520
9606.ENSP00000294728	515
9606.ENSP00000262551	509
9606.ENSP00000251645	507
9606.ENSP00000249842	503
9606.ENSP00000296280	482
9606.ENSP00000383003	482
9606.ENSP00000296585	479
9606.ENSP00000301464	478
9606.ENSP00000264187	476
9606.ENSP00000257264	474
9606.ENSP00000357453	471
9606.ENSP00000264832	471
9606.ENSP00000324173	466
9606.ENSP00000294742	465
9606.ENSP00000262428	464
9606.ENSP00000285379	464
9606.ENSP00000262613	457
9606.ENSP00000297029	455
9606.ENSP00000262768	454
9606.ENSP00000386346	448
9606.ENSP00000367196	446
9606.ENSP00000303276	439
9606.ENSP00000220166	434
9606.ENSP00000272298	433
9606.ENSP00000291744	428
9606.ENSP00000361097	422
9606.ENSP00000270142	415
9606.ENSP00000480884	413
9606.ENSP00000483300	411
9606.ENSP00000263368	403
9606.ENSP00000236671	400
9606.ENSP00000270776	400
9606.ENSP00000225972	398
9606.ENSP00000293778	396
9606.ENSP00000362108	394
9606.ENSP00000290378	392
9606.ENSP00000223095	391
9606.ENSP00000268613	389
9606.ENSP00000378669	385
9606.ENSP00000314807	384
9606.ENSP00000387654	383
9606.ENSP00000284981	378
9606.ENSP00000402855	377
9606.ENSP00000379032	375
9606.ENSP00000356015	374
9606.ENSP00000308716	372
9606.ENSP00000362463	371
9606.ENSP00000466134	369
9606.ENSP00000231484	369
9606.ENSP00000261769	362
9606.ENSP00000307705	360
9606.ENSP00000384906	357
9606.ENSP00000411770	354
9606.ENSP00000300060	350
9606.ENSP00000261590	348
