#id: 3328968863
#name: H.sapiens - Thyroid gland (Integrated)
#score: 26.9
#coverage: 61
#description: integrated dataset: weighted average of all H.sapiens THYROID_GLAND: 26.9, Coverage: 61
#organ: THYROID_GLAND
#integrated: true
#weights: PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Thyroid:0.417;PXD016999_Jiang_Cell_2020_Thyroid-ppm:0.417;thyroid_gland_Wilhelm_2014_Maxquant:0.167;
#publication_year: 2023
#filename: 9606-THYROID_GLAND-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000419325	711
9606.ENSP00000381448	707
9606.ENSP00000277865	707
9606.ENSP00000316029	705
9606.ENSP00000318195	704
9606.ENSP00000269321	701
9606.ENSP00000362744	700
9606.ENSP00000340510	697
9606.ENSP00000273359	697
9606.ENSP00000381736	697
9606.ENSP00000359991	696
9606.ENSP00000361883	696
9606.ENSP00000269576	694
9606.ENSP00000452762	692
9606.ENSP00000285379	692
9606.ENSP00000268182	690
9606.ENSP00000375978	683
9606.ENSP00000377710	681
9606.ENSP00000463379	679
9606.ENSP00000474534	679
9606.ENSP00000344547	678
9606.ENSP00000376889	677
9606.ENSP00000371554	676
9606.ENSP00000261733	673
9606.ENSP00000362271	669
9606.ENSP00000352706	668
9606.ENSP00000378725	666
9606.ENSP00000351646	665
9606.ENSP00000361930	663
9606.ENSP00000251453	660
9606.ENSP00000470298	659
9606.ENSP00000301329	657
9606.ENSP00000378046	655
9606.ENSP00000405573	655
9606.ENSP00000379895	654
9606.ENSP00000377833	653
9606.ENSP00000371230	652
9606.ENSP00000364935	644
9606.ENSP00000313420	639
9606.ENSP00000356671	639
9606.ENSP00000346050	635
9606.ENSP00000307241	630
9606.ENSP00000405965	627
9606.ENSP00000377298	625
9606.ENSP00000402103	622
9606.ENSP00000325376	620
9606.ENSP00000354573	619
9606.ENSP00000246069	618
9606.ENSP00000356275	618
9606.ENSP00000262776	616
9606.ENSP00000304669	615
9606.ENSP00000296412	613
9606.ENSP00000450436	608
9606.ENSP00000217515	607
9606.ENSP00000309477	605
9606.ENSP00000265395	604
9606.ENSP00000443017	601
9606.ENSP00000369538	600
9606.ENSP00000357189	598
9606.ENSP00000407685	593
9606.ENSP00000451112	586
9606.ENSP00000310275	583
9606.ENSP00000429374	581
9606.ENSP00000367992	578
9606.ENSP00000261514	578
9606.ENSP00000411825	576
9606.ENSP00000344504	575
9606.ENSP00000372155	574
9606.ENSP00000445306	570
9606.ENSP00000357516	569
9606.ENSP00000369129	565
9606.ENSP00000052754	563
9606.ENSP00000361140	562
9606.ENSP00000389103	561
9606.ENSP00000339001	561
9606.ENSP00000350425	558
9606.ENSP00000394936	556
9606.ENSP00000306362	555
9606.ENSP00000438248	555
9606.ENSP00000349541	552
9606.ENSP00000386636	552
9606.ENSP00000346067	552
9606.ENSP00000357535	552
9606.ENSP00000367542	551
9606.ENSP00000229447	549
9606.ENSP00000427687	548
9606.ENSP00000221418	545
9606.ENSP00000349748	542
9606.ENSP00000014930	542
9606.ENSP00000343924	542
9606.ENSP00000392330	540
9606.ENSP00000451291	540
9606.ENSP00000390265	539
9606.ENSP00000359345	537
9606.ENSP00000296255	537
9606.ENSP00000420914	536
9606.ENSP00000303145	536
9606.ENSP00000466134	535
9606.ENSP00000393887	534
9606.ENSP00000348163	533
9606.ENSP00000353375	526
9606.ENSP00000363041	522
9606.ENSP00000299529	519
9606.ENSP00000355518	517
9606.ENSP00000426119	516
9606.ENSP00000470972	515
9606.ENSP00000246662	514
9606.ENSP00000228318	514
9606.ENSP00000263867	513
9606.ENSP00000284031	513
9606.ENSP00000371152	512
9606.ENSP00000319788	512
9606.ENSP00000349960	511
9606.ENSP00000419665	510
9606.ENSP00000362329	510
9606.ENSP00000279022	509
9606.ENSP00000225964	509
9606.ENSP00000400175	508
9606.ENSP00000387123	507
