#id: 4249701353
#name: H.sapiens - Cell line, Lncap (Geiger,mcp,2012)
#score: 16.1
#description: abundance based on MAPPED_BY_AUTHORS, LnCap, Interaction consistency score: 16.1, Coverage: 36
#organ: CELL_LINE
#integrated: false
#coverage: 36
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M111.014050
#publication_year: 2012
#filename: 9606-iBAQ_LnCap_Geiger_2012_uniprot.txt
#
#string_external_id	abundance
9606.ENSP00000367721	225
9606.ENSP00000381736	225
9606.ENSP00000316891	225
9606.ENSP00000373487	225
9606.ENSP00000324173	225
9606.ENSP00000440005	225
9606.ENSP00000323076	225
9606.ENSP00000264335	225
9606.ENSP00000361635	225
9606.ENSP00000464342	224
9606.ENSP00000259469	224
9606.ENSP00000298510	224
9606.ENSP00000299767	224
9606.ENSP00000225655	224
9606.ENSP00000479488	224
9606.ENSP00000379888	224
9606.ENSP00000261889	224
9606.ENSP00000333667	224
9606.ENSP00000300289	224
9606.ENSP00000417864	223
9606.ENSP00000265462	223
9606.ENSP00000322439	223
9606.ENSP00000307786	223
9606.ENSP00000265838	223
9606.ENSP00000452762	223
9606.ENSP00000311430	223
9606.ENSP00000225430	223
9606.ENSP00000270625	223
9606.ENSP00000379287	223
9606.ENSP00000385958	223
9606.ENSP00000322419	223
9606.ENSP00000403172	222
9606.ENSP00000346015	222
9606.ENSP00000307889	222
9606.ENSP00000339795	222
9606.ENSP00000228318	222
9606.ENSP00000297185	222
9606.ENSP00000362744	222
9606.ENSP00000261183	222
9606.ENSP00000217426	222
9606.ENSP00000350071	222
9606.ENSP00000351644	222
9606.ENSP00000429374	222
9606.ENSP00000309830	221
9606.ENSP00000359991	221
9606.ENSP00000318195	221
9606.ENSP00000251453	221
9606.ENSP00000327694	221
9606.ENSP00000304229	221
9606.ENSP00000346050	221
9606.ENSP00000428895	221
9606.ENSP00000290299	221
9606.ENSP00000216714	221
9606.ENSP00000428085	221
9606.ENSP00000396843	221
9606.ENSP00000365773	221
9606.ENSP00000346001	221
9606.ENSP00000384949	220
9606.ENSP00000354876	220
9606.ENSP00000267814	220
9606.ENSP00000377640	220
9606.ENSP00000363018	220
9606.ENSP00000346037	220
9606.ENSP00000331897	220
9606.ENSP00000278572	220
9606.ENSP00000386717	220
9606.ENSP00000321259	220
9606.ENSP00000217182	220
9606.ENSP00000230050	220
9606.ENSP00000472469	220
9606.ENSP00000245206	220
9606.ENSP00000307940	220
9606.ENSP00000371958	219
9606.ENSP00000262584	219
9606.ENSP00000342056	219
9606.ENSP00000261366	219
9606.ENSP00000375730	219
9606.ENSP00000416429	219
9606.ENSP00000296859	219
9606.ENSP00000400467	219
9606.ENSP00000353401	219
9606.ENSP00000309334	219
9606.ENSP00000451080	219
9606.ENSP00000327801	219
9606.ENSP00000348381	219
9606.ENSP00000283179	219
9606.ENSP00000405573	219
9606.ENSP00000349428	219
9606.ENSP00000449328	219
9606.ENSP00000296503	219
9606.ENSP00000463784	219
9606.ENSP00000339720	219
9606.ENSP00000373905	219
9606.ENSP00000302768	219
9606.ENSP00000316598	218
9606.ENSP00000264710	218
9606.ENSP00000359345	218
9606.ENSP00000379386	218
9606.ENSP00000343435	218
9606.ENSP00000358840	218
9606.ENSP00000273077	218
9606.ENSP00000367086	218
9606.ENSP00000362463	218
9606.ENSP00000420311	218
9606.ENSP00000363676	218
9606.ENSP00000346921	218
9606.ENSP00000355518	217
9606.ENSP00000301587	217
9606.ENSP00000357535	217
9606.ENSP00000482075	217
9606.ENSP00000221419	217
9606.ENSP00000377374	217
9606.ENSP00000367992	217
9606.ENSP00000358737	217
9606.ENSP00000253024	217
9606.ENSP00000301729	217
9606.ENSP00000215570	217
9606.ENSP00000349168	216
9606.ENSP00000318646	216
9606.ENSP00000310275	216
9606.ENSP00000263713	216
9606.ENSP00000339095	216
9606.ENSP00000248553	216
9606.ENSP00000450436	216
9606.ENSP00000349142	216
9606.ENSP00000265073	216
9606.ENSP00000351777	216
9606.ENSP00000378570	216
9606.ENSP00000426909	216
9606.ENSP00000363641	216
9606.ENSP00000472985	216
9606.ENSP00000457513	216
9606.ENSP00000273258	216
9606.ENSP00000397798	216
9606.ENSP00000325548	216
9606.ENSP00000368646	216
9606.ENSP00000303145	216
9606.ENSP00000352257	216
9606.ENSP00000261531	215
9606.ENSP00000306117	215
9606.ENSP00000342374	215
9606.ENSP00000378163	215
9606.ENSP00000196371	215
9606.ENSP00000216254	215
9606.ENSP00000303222	215
9606.ENSP00000383949	215
9606.ENSP00000331901	215
9606.ENSP00000221801	215
9606.ENSP00000397261	215
9606.ENSP00000323856	215
9606.ENSP00000378743	215
9606.ENSP00000345230	215
9606.ENSP00000418525	215
9606.ENSP00000267884	215
9606.ENSP00000272348	214
9606.ENSP00000303356	214
9606.ENSP00000263368	214
9606.ENSP00000379506	214
9606.ENSP00000360922	214
9606.ENSP00000362329	214
9606.ENSP00000344504	214
9606.ENSP00000325827	214
9606.ENSP00000316905	214
9606.ENSP00000320949	214
9606.ENSP00000480004	214
9606.ENSP00000268379	214
9606.ENSP00000470972	214
9606.ENSP00000341483	214
9606.ENSP00000223641	214
9606.ENSP00000001008	214
9606.ENSP00000236671	214
9606.ENSP00000210444	214
9606.ENSP00000405965	214
9606.ENSP00000225665	214
9606.ENSP00000438689	214
9606.ENSP00000428845	213
9606.ENSP00000341625	213
9606.ENSP00000354739	213
9606.ENSP00000242776	213
9606.ENSP00000355011	213
9606.ENSP00000359098	213
9606.ENSP00000349748	213
9606.ENSP00000333633	213
9606.ENSP00000445306	213
9606.ENSP00000377941	213
9606.ENSP00000435777	213
9606.ENSP00000355759	213
9606.ENSP00000305556	213
9606.ENSP00000277865	213
9606.ENSP00000386636	213
9606.ENSP00000261772	213
9606.ENSP00000370750	213
9606.ENSP00000222247	213
9606.ENSP00000361930	213
9606.ENSP00000345848	213
9606.ENSP00000357189	213
9606.ENSP00000325376	213
9606.ENSP00000354511	213
9606.ENSP00000205402	213
9606.ENSP00000251507	212
9606.ENSP00000379512	212
9606.ENSP00000305230	212
9606.ENSP00000370589	212
9606.ENSP00000361140	212
9606.ENSP00000346027	212
9606.ENSP00000241052	212
9606.ENSP00000362820	212
9606.ENSP00000285208	212
9606.ENSP00000286091	212
9606.ENSP00000325905	212
9606.ENSP00000276079	212
9606.ENSP00000452909	212
9606.ENSP00000256854	212
9606.ENSP00000418868	212
9606.ENSP00000419449	212
9606.ENSP00000216121	212
9606.ENSP00000346954	212
9606.ENSP00000354251	212
9606.ENSP00000419117	212
9606.ENSP00000203407	212
9606.ENSP00000356581	212
9606.ENSP00000400906	212
9606.ENSP00000246957	211
9606.ENSP00000306003	211
9606.ENSP00000477590	211
9606.ENSP00000291577	211
9606.ENSP00000346080	211
9606.ENSP00000273550	211
9606.ENSP00000321584	211
9606.ENSP00000363574	211
9606.ENSP00000379339	211
9606.ENSP00000474560	211
9606.ENSP00000421326	211
9606.ENSP00000371267	211
9606.ENSP00000390265	211
